Author,DOI,Note,FINISHED,Test type,Heating rate,Target Temperature,Cooling,Specimen age (days),Storage,oven-dried,fc range @ 20°C (MPa),Specimen shape,Specimen size (mm),Temperatures,Time after exposure,Mix design,n of mixes,w/b,Investigate parameters,Mechanical properties,Stress-strain,Load-deflection,Thermal properties,Other (1),Other (2)
Abrams (1971),10.14359/17331,hot residual / aggregate type,,Residual; Hot,,,,,,,,,,,,,,,,,,,,,
Al Qadi & Al-Zaidyeen (2014),10.1016/j.jksues.2012.12.002,Shape effect: cube vs. cylinder; Exposure time,,Residual,,2h or 4h,cooled at room temp.,,,,29.20-45.30,,,,,,,,,,,,,,
Arioz 2007,10.1016/j.firesaf.2007.01.00,"Różne kruszywa, w/c (0.4 i 0.5)",,Residual,20°C/min,2h,2°C/min,35,"28d water, 6d air, 24h 105°C",24h,39-52,Cube,70 mm,20 - 1200 (różne dla poszcz. betonów),2h,"OPC, water, fine and coarse aggregate",,0.4; 0.5; 0.6,"aggregate, w/c",fc,,,density,TGA; dTG of cement paste,colour analysis
Arioz 2009,10.1002/fam.996,Size effect: cube,,Residual,1°C/min,2h,1°C/min,42,28d water + 7d lab + 7d oven (105°C),7d,69.2 (cube100); 76.6 (cube150),Cube,"100, 150, 200","200, 400, 600, 800, 1000, 1200",7d,"OPC, limestone aggregate <15mm, water, plasticizer",,,specimen size (cube 100 vs. 150),"fc, ft",no,no,N/A,"SEM, surface photos","UPV, rebound hammer; cubes 200 mm only for tensile strength"
Bamonte & Gambarova (2010),10.1061/(ASCE)MT.1943-5533.0000058,Shape effect: cube vs. cylinder,,Residual; Hot,0.5°C/min,2h,0.25°C/min,120,no data,not specified,125,Cube; Cylinder,cube 40; cylinder 36x110,"20, 150, 300, 450, 600, 750",Hot or 7d@RH70%,"OPC, quartz sand; PP fiber (2 sizes); water, SP, TiO2",,,specimen shape (cube vs. cylinder),"fc, ft, Young (res.), Gf",no,no,thermal diffusivity,N/A,Pavement for Jet fighters
Bamonte & Gambarova (2012),10.1617/s11527-012-9839-9,,,Residual; Hot,1 & 2 °C/min,,,,,,51-90,,,"20, 200, 400, 600",,,,,,,,,,,
Erdem (2014),10.1016/j.cemconcomp.2013.09.019,Size effect: cylinder; ECC,YES,Residual,15°C/min,1h,natural cooling,28,28d@23°C&RH95,no,63.9-67.2,Cylinder,"50, 100, 150","20, 200, 400, 600, 800",after cooling,"OPC, FA, water, PVA fiber, sand, SP (HRWR)",,0.27,,fc,YES,noe,N/A,pore size distributions; vol. variation of pore size; intruded porosity,no
Felicetti et al. (2013),10.1002/fam.2125,NSC vs. LWC vs. HPLWC,YES,Residual,0.5°C/min,2h,0.2°C/min,150 days,7d water + 21d air @20°C@RH75 + 120d 20°C@RH65,7d (NSC & LWC) & 14d (HPLWC),30-56,Cylinder,100x200,"20, 105, 250, 500, 750",not specified,"OPC, SF slurry, P, SP, water, expanded clay, fine/medium/coarse aggregate",,0.33; 0.63; 0.67,"NSC, LWC, HPLWC","fc, Young, direct tension",YES,,thermal diffusivity,,"Water loss during oven-drying: NSC: 4%; LWC: 8%; HPLWC: 8% in the first week + 4% in the second week; Study of structural implications (3 beams, isotherm 500°C)"
Hager & Pimienta (2004),None,Residual vs. Hot; 2 fibre contents,,Residual; Hot,1°C/min,2h,<1.8°C/min,900,1d + 6d sealed +2.5y@20°C@RH50,no,90-120,Cylinder,104x300,"20, 120, 250, 400, 600",Hot or not specified,"OPC, sand, limestone aggr., SF, plasticizer, water, PP fiber",,0.30,fibers,"fc, Young",YES,no,N/A,SEM,spalling observations
Hager et al. (2016),10.1002/fam.2318,4 aggregates,,Residual,,,,,,,,,,,,,,,,,,,,,
